Pin Number vs. Byte offset in EEPROM (vA1).,,,,,,
Header #,Pin #,EEPROM Offset (bytes),,Header #,Pin #,EEPROM Offset (bytes)
9,1,-1,,8,1,-1
9,2,-1,,8,2,-1
9,3,-1,,8,3,140
9,4,-1,,8,4,142
9,5,-1,,8,5,132
9,6,-1,,8,6,134
9,7,-1,,8,7,170
9,8,-1,,8,8,176
9,9,-1,,8,9,172
9,10,-1,,8,10,174
9,11,124,,8,11,146
9,12,160,,8,12,144
9,13,126,,8,13,118
9,14,156,,8,14,120
9,15,152,,8,15,150
9,16,158,,8,16,148
9,17,94,,8,17,122
9,18,92,,8,18,168
9,19,106,,8,19,116
9,20,108,,8,20,166
9,21,90,,8,21,164
9,22,88,,8,22,138
9,23,154,,8,23,136
9,24,112,,8,24,130
9,25,220,,8,25,128
9,26,110,,8,26,162
9,27,216,,8,27,202
9,28,214,,8,28,206
9,29,210,,8,29,204
9,30,212,,8,30,208
9,31,218,,8,31,102
9,32,-1,,8,32,104
9,33,230,,8,33,100
9,34,-1,,8,34,200
9,35,234,,8,35,98
9,36,232,,8,36,198
9,37,226,,8,37,194
9,38,228,,8,38,196
9,39,222,,8,39,190
9,40,224,,8,40,192
9,41,114,,8,41,186
9,42,96,,8,42,188
9,43,-1,,8,43,182
9,44,-1,,8,44,184
9,45,-1,,8,45,178
9,46,-1,,8,46,180